tmdb_movie_id,tmdb_director_id,movie_title
801937,1039364,"Silent Night, Deadly Night"
616037,55934,Thor: Love and Thunder
268,510,Batman
879,488,Hook
235,3026,Stand by Me
409297,1660374,A Dark Song
10971,26134,A Night to Remember
10591,65734,The Girl Next Door
480530,1551545,Creed II
551,7501,The Poseidon Adventure
190859,190,American Sniper
491761,42309,Rocky Mountain Christmas
46625,2303,The End of Violence
3090,6593,The Treasure of the Sierra Madre
119450,32278,Dawn of the Planet of the Apes
894205,15347,Werewolf by Night
787699,101666,Wonka
33931,4109,The Sea Wolf
39254,17825,Real Steel
645861,529185,South of Heaven
1245993,6431,Caught Stealing
15983,64195,Invasion U.S.A.
61791,77357,Rise of the Planet of the Apes
500,138,Reservoir Dogs
763215,17597,Damsel
45153,51864,Eve's Bayou
122906,7018,About Time
492336,57777,Deep Blue Sea 2
1124620,90609,The Monkey
1125899,10702,Cleaner
318846,55710,The Big Short
9378,57521,Thir13en Ghosts
836009,75043,Against the Ice
16562,12988,The Cutting Edge
379686,72024,Space Jam: A New Legacy
339403,11090,Baby Driver
27475,21371,The Slumber Party Massacre
457840,204761,Psych: The Movie
36557,10702,Casino Royale
23479,12964,The Bad News Bears
299054,293911,Expend4bles
41769,180868,Prom Night IV: Deliver Us from Evil
760104,101542,X
353081,9033,Mission: Impossible - Fallout
9902,60243,Wrong Turn
72984,253696,Hansel and Gretel
1140498,51329,Is This Thing On?
15801,80978,What Doesn't Kill You
420818,15277,The Lion King
1034541,933176,Terrifier 3
10317,64141,Our Brand Is Crisis
1293286,123238,Gunslingers
846422,42138,The Old Guard 2
6479,10943,I Am Legend
641370,156379,Invasion: Planet Earth
381284,1141683,Hidden Figures
1265,36697,Bridge to Terabithia
330457,1120694,Frozen II
330457,15774,Frozen II
180,488,Minority Report
37608,2087,The New Centurions
1368,16544,First Blood
335797,52842,Sing
25468,15389,My Dinner with Andre
33,190,Unforgiven
75345,11676,I Melt with You
29426,14999,Survival of the Dead
39513,54733,Paul
11224,64864,Cinderella
11224,11434,Cinderella
11224,11429,Cinderella
3124,5629,The Evil of Frankenstein
19908,91268,Zombieland
8009,52968,Highlander
2665,27746,Airplane II: The Sequel
22614,103344,The Scarlet Pimpernel
9820,17698,The Parent Trap
10198,15810,The Princess and the Frog
10198,15811,The Princess and the Frog
270946,44114,Penguins of Madagascar
270946,18863,Penguins of Madagascar
162,510,Edward Scissorhands
686,24,Contact
980489,82194,Gran Turismo
141,1577,Donnie Darko
767504,1965097,Black as Night
374720,525,Dunkirk
1809,8297,The Rules of Attraction
648878,1145520,Eddington
937941,1881494,Shelby Oaks
747,11090,Shaun of the Dead
9637,1215,Scooby-Doo
436270,59521,Black Adam
27740,19266,A Return to Salem's Lot
466420,1032,Killers of the Flower Moon
91314,865,Transformers: Age of Extinction
13370,13524,A Mighty Wind
14554,14520,Bad Day at Black Rock
9804,8300,Waterworld
82702,69797,How to Train Your Dragon 2
942890,58689,House of Darkness
1325678,110618,Sarah's Oil
1097549,39847,Babygirl
8355,5714,Ice Age: Dawn of the Dinosaurs
69315,77211,Battlestar Galactica: Razor
408,5446,Snow White and the Seven Dwarfs
408,11426,Snow White and the Seven Dwarfs
408,67373,Snow White and the Seven Dwarfs
408,564042,Snow White and the Seven Dwarfs
408,52218,Snow White and the Seven Dwarfs
408,11434,Snow White and the Seven Dwarfs
50014,55789,The Help
370172,87257,No Time to Die
120467,5655,The Grand Budapest Hotel
245891,40644,John Wick
810,12098,Shrek the Third
10144,15811,The Little Mermaid
10144,15810,The Little Mermaid
593643,57199,The Menu
